geneID,variable,value
RPB8,goC,GO:0005654
RPB8,goC,GO:0005634
RPB8,goC,GO:0032993
RPB8,goC,GO:0005736
RPB8,goC,GO:0005665
RPB8,goC,GO:0005666
RIX7,goC,GO:0005730
RIX7,goC,GO:0005634
RIX7,goC,GO:0030687
NOP12,goC,GO:0005730
NOP12,goC,GO:0030684
UTP5,goC,GO:0005730
UTP5,goC,GO:0005654
UTP5,goC,GO:0033553
UTP5,goC,GO:0032040
UTP5,goC,GO:0034455
SAS10,goC,GO:0005730
SAS10,goC,GO:0005654
SAS10,goC,GO:0005634
SAS10,goC,GO:0032040
REX4,goC,GO:0005730
REX4,goC,GO:0005634
RNH70,goC,GO:0005634
MEX67,goC,GO:0005737
MEX67,goC,GO:0005643
MEX67,goC,GO:0042272
MEX67,goC,GO:0005634
POP1,goC,GO:0005737
POP1,goC,GO:0005655
POP1,goC,GO:0000172
POP1,goC,GO:0005697
MTR4,goC,GO:0005730
MTR4,goC,GO:0005634
MTR4,goC,GO:0031499
UTP23,goC,GO:0005739
UTP23,goC,GO:0005730
UTP23,goC,GO:0005654
UTP23,goC,GO:0032040
RRS1,goC,GO:0034399
RRS1,goC,GO:0005730
RRS1,goC,GO:0005654
RRS1,goC,GO:0030687
GSP1,goC,GO:0005737
GSP1,goC,GO:0005829
GSP1,goC,GO:0005634
GSP2,goC,GO:0005737
GSP2,goC,GO:0005634
RNA1,goC,GO:0000781
RNA1,goC,GO:0005829
RNA1,goC,GO:0005634
RNA1,goC,GO:0048471
DIP2,goC,GO:0030686
DIP2,goC,GO:0005730
DIP2,goC,GO:0005654
DIP2,goC,GO:0034388
DIP2,goC,GO:0032040
SMT3,goC,GO:0000794
SMT3,goC,GO:0005634
SMT3,goC,GO:0005940
RAI1,goC,GO:0005829
RAI1,goC,GO:0090730
RAI1,goC,GO:0005634
RAI1,goC,GO:0110103
PRP43,goC,GO:0030686
PRP43,goC,GO:0005739
PRP43,goC,GO:0005730
PRP43,goC,GO:0071014
PRP43,goC,GO:0032040
PRP43,goC,GO:0005681
NOP9,goC,GO:0030686
NOP9,goC,GO:0005730
NOP9,goC,GO:0005634
NOP9,goC,GO:0030688
NOP9,goC,GO:0032040
ECM16,goC,GO:0030686
ECM16,goC,GO:0005739
ECM16,goC,GO:0005730
ECM16,goC,GO:0005654
ECM16,goC,GO:0032040
NMD5,goC,GO:0005737
NMD5,goC,GO:0005829
NMD5,goC,GO:0005635
NMD5,goC,GO:0034399
NMD5,goC,GO:0005634
UBC9,goC,GO:0000794
UBC9,goC,GO:0005634
TRF5,goC,GO:0005730
TRF5,goC,GO:0031499
PAP2,goC,GO:0005829
PAP2,goC,GO:0005730
PAP2,goC,GO:0005634
PAP2,goC,GO:0031499
SOF1,goC,GO:0030686
SOF1,goC,GO:0005730
SOF1,goC,GO:0005654
SOF1,goC,GO:0032040
PSE1,goC,GO:0005737
PSE1,goC,GO:0005634
MPP10,goC,GO:0030686
MPP10,goC,GO:0034457
MPP10,goC,GO:0005730
MPP10,goC,GO:0005654
MPP10,goC,GO:0005634
MPP10,goC,GO:0032040
MPP10,goC,GO:0005732
LSG1,goC,GO:0005737
LSG1,goC,GO:0005829
LSG1,goC,GO:0022625
LSG1,goC,GO:0043332
HRR25,goC,GO:0005935
HRR25,goC,GO:0005934
HRR25,goC,GO:0000775
HRR25,goC,GO:0005737
HRR25,goC,GO:0005829
HRR25,goC,GO:0005794
HRR25,goC,GO:0033551
HRR25,goC,GO:0005730
HRR25,goC,GO:0005654
HRR25,goC,GO:0005634
HRR25,goC,GO:0000407
HRR25,goC,GO:0005886
HRR25,goC,GO:0030688
HRR25,goC,GO:0005816
UTP14,goC,GO:0005730
UTP14,goC,GO:0005654
UTP14,goC,GO:0032040
KAP104,goC,GO:0005929
KAP104,goC,GO:0005737
KAP104,goC,GO:0005829
KAP104,goC,GO:0070062
KAP104,goC,GO:0005634
BFR2,goC,GO:0030686
BFR2,goC,GO:0005730
BFR2,goC,GO:0032040
UTP18,goC,GO:0030686
UTP18,goC,GO:0005730
UTP18,goC,GO:0005654
UTP18,goC,GO:0034388
UTP18,goC,GO:0032040
RRP8,goC,GO:0030686
RRP8,goC,GO:0000781
RRP8,goC,GO:0005730
RRP1,goC,GO:0005730
RRP1,goC,GO:0005634
RRP1,goC,GO:0030687
RRP1,goC,GO:0030688
PUF6,goC,GO:0005934
PUF6,goC,GO:0101031
PUF6,goC,GO:0015934
PUF6,goC,GO:0005730
PUF6,goC,GO:0005634
PUF6,goC,GO:0030687
NSA2,goC,GO:0005730
NSA2,goC,GO:0005634
NSA2,goC,GO:0030687
NOC3,goC,GO:0030691
NOC3,goC,GO:0005656
NOC3,goC,GO:0005730
NOC3,goC,GO:0005654
NOC3,goC,GO:0005634
UTP15,goC,GO:0030686
UTP15,goC,GO:0005730
UTP15,goC,GO:0005654
UTP15,goC,GO:0033553
UTP15,goC,GO:0032040
UTP15,goC,GO:0034455
ULP1,goC,GO:0005635
ULP1,goC,GO:0005730
ULP1,goC,GO:0005634
RRP9,goC,GO:0030686
RRP9,goC,GO:0031428
RRP9,goC,GO:0005730
RRP9,goC,GO:0005654
RRP9,goC,GO:0032040
RRB1,goC,GO:0005730
NOP4,goC,GO:0005730
NOP4,goC,GO:0005634
NOP4,goC,GO:1990904
NAR1,goC,GO:0097361
NAR1,goC,GO:0005829
NAR1,goC,GO:0016020
NAR1,goC,GO:0005634
IMP3,goC,GO:0030686
IMP3,goC,GO:0034457
IMP3,goC,GO:0005730
IMP3,goC,GO:0005654
IMP3,goC,GO:0032040
EBP2,goC,GO:0034399
EBP2,goC,GO:0005730
EBP2,goC,GO:0030687
UTP4,goC,GO:0030686
UTP4,goC,GO:0005730
UTP4,goC,GO:0005654
UTP4,goC,GO:0032040
UTP4,goC,GO:0034455
UTP21,goC,GO:0030686
UTP21,goC,GO:0005730
UTP21,goC,GO:0005654
UTP21,goC,GO:0005634
UTP21,goC,GO:0034388
UTP21,goC,GO:0032040
UTP11,goC,GO:0005730
UTP11,goC,GO:0005654
UTP11,goC,GO:0032040
UTP11,goC,GO:0005732
NOP15,goC,GO:0005737
NOP15,goC,GO:0005730
NOP15,goC,GO:0005634
NOP15,goC,GO:0030687
NOC4,goC,GO:0030686
NOC4,goC,GO:0005829
NOC4,goC,GO:0030692
NOC4,goC,GO:0005730
NOC4,goC,GO:0005654
NOC4,goC,GO:0005634
NOC4,goC,GO:0030688
NOC4,goC,GO:0032040
UTP10,goC,GO:0030686
